cod_comuna,cod_region,comuna,region,poblacion,encuentros,encuentros_10000hab,pcent_elas,pcent_votos,idh,color
1101,1,Iquique,Tarapacá,145881,229,15.698,1.525,0.821,0.766,#0054A4
1107,1,Alto Hospicio,Tarapacá,62947,30,4.766,0.200,0.201,,#0054A4
1405,1,Pica,Tarapacá,17334,14,8.077,0.093,0.029,0.793,#0054A4
1401,1,Pozo Almonte,Tarapacá,13529,16,11.826,0.107,0.054,0.722,#0054A4
1404,1,Huara,Tarapacá,2339,5,21.377,0.033,0.021,0.676,#0054A4
1403,1,Colchane,Tarapacá,1333,3,22.506,0.020,0.007,0.603,#0054A4
1402,1,Camiña,Tarapacá,679,2,29.455,0.013,0.013,0.619,#0054A4
2101,2,Antofagasta,Antofagasta,284842,267,9.374,1.778,1.320,0.734,#544076
2201,2,Calama,Antofagasta,110113,166,15.075,1.105,0.677,0.757,#544076
2301,2,Tocopilla,Antofagasta,16233,13,8.008,0.087,0.128,0.690,#544076
2102,2,Mejillones,Antofagasta,8387,9,10.731,0.060,0.049,0.730,#544076
2104,2,Taltal,Antofagasta,8069,5,6.197,0.033,0.059,0.716,#544076
2203,2,San Pedro de Atacama,Antofagasta,7778,4,5.143,0.027,0.031,0.711,#544076
2103,2,Sierra Gorda,Antofagasta,3308,1,3.023,0.007,0.008,0.789,#544076
2302,2,María Elena,Antofagasta,2840,2,7.042,0.013,0.029,0.779,#544076
2202,2,Ollague,Antofagasta,177,1,56.497,0.007,0.003,,#544076
3101,3,Copiapó,Atacama,123616,152,12.296,1.012,0.669,0.725,#A92C48
3301,3,Vallenar,Atacama,35719,42,11.758,0.280,0.292,0.731,#A92C48
3102,3,Caldera,Atacama,11573,12,10.369,0.080,0.092,0.741,#A92C48
3103,3,Tierra Amarilla,Atacama,10548,17,16.117,0.113,0.077,0.686,#A92C48
3201,3,Chañaral,Atacama,9505,11,11.573,0.073,0.074,0.714,#A92C48
3202,3,Diego de Almagro,Atacama,9014,31,34.391,0.206,0.080,0.789,#A92C48
3304,3,Huasco,Atacama,6215,2,3.218,0.013,0.057,0.695,#A92C48
3303,3,Freirina,Atacama,4486,7,15.604,0.047,0.041,0.693,#A92C48
3302,3,Alto del Carmen,Atacama,3790,4,10.554,0.027,0.032,0.664,#A92C48
4101,4,La Serena,Coquimbo,165952,205,12.353,1.365,1.072,0.781,#EE2B2A
4102,4,Coquimbo,Coquimbo,165707,129,7.785,0.859,0.957,0.731,#EE2B2A
4301,4,Ovalle,Coquimbo,86022,58,6.742,0.386,0.610,0.725,#EE2B2A
4201,4,Illapel,Coquimbo,24322,34,13.979,0.226,0.196,0.667,#EE2B2A
4303,4,Monte Patria,Coquimbo,24268,26,10.714,0.173,0.201,0.653,#EE2B2A
4204,4,Salamanca,Coquimbo,20413,31,15.186,0.206,0.158,0.676,#EE2B2A
4106,4,Vicuña,Coquimbo,19999,13,6.500,0.087,0.166,0.716,#EE2B2A
4203,4,Los Vilos,Coquimbo,14704,33,22.443,0.220,0.128,0.675,#EE2B2A
4302,4,Combarbalá,Coquimbo,9965,17,17.060,0.113,0.097,0.661,#EE2B2A
4304,4,Punitaqui,Coquimbo,7928,7,8.829,0.047,0.080,0.653,#EE2B2A
4202,4,Canela,Coquimbo,6753,27,39.982,0.180,0.074,0.644,#EE2B2A
4103,4,Andacollo,Coquimbo,6682,10,14.966,0.067,0.088,0.675,#EE2B2A
4305,4,Río Hurtado,Coquimbo,3561,11,30.890,0.073,0.036,0.653,#EE2B2A
4105,4,Paihuano,Coquimbo,3553,13,36.589,0.087,0.036,0.734,#EE2B2A
4104,4,La Higuera,Coquimbo,3042,6,19.724,0.040,0.033,0.670,#EE2B2A
5109,5,Viña del Mar,Valparaíso,236650,242,10.226,1.611,2.028,0.766,#F47B4D
5101,5,Valparaíso,Valparaíso,219953,347,15.776,2.310,1.758,0.701,#F47B4D
5801,5,Quilpué,Valparaíso,129712,107,8.249,0.712,0.857,0.752,#F47B4D
5804,5,Villa Alemana,Valparaíso,104277,65,6.233,0.433,0.607,0.755,#F47B4D
5601,5,San Antonio,Valparaíso,77673,67,8.626,0.446,0.574,0.697,#F47B4D
5501,5,Quillota,Valparaíso,69550,72,10.352,0.479,0.499,0.726,#F47B4D
5701,5,San Felipe,Valparaíso,59329,71,11.967,0.473,0.413,0.730,#F47B4D
5301,5,Los Andes,Valparaíso,58054,91,15.675,0.606,0.386,0.756,#F47B4D
5103,5,Concón,Valparaíso,46445,48,10.335,0.320,0.276,0.781,#F47B4D
5502,5,La Calera,Valparaíso,42119,28,6.648,0.186,0.327,0.700,#F47B4D
5802,5,Limache,Valparaíso,35479,30,8.456,0.200,0.260,0.722,#F47B4D
5401,5,La Ligua,Valparaíso,29727,30,10.092,0.200,0.235,0.708,#F47B4D
5102,5,Casablanca,Valparaíso,22655,14,6.180,0.093,0.164,0.712,#F47B4D
5107,5,Quintero,Valparaíso,19971,13,6.509,0.087,0.161,0.733,#F47B4D
5506,5,Nogales,Valparaíso,19585,10,5.106,0.067,0.154,0.689,#F47B4D
5603,5,Cartagena,Valparaíso,19474,19,9.757,0.127,0.136,0.708,#F47B4D
5703,5,Llaillay,Valparaíso,18285,10,5.469,0.067,0.163,0.676,#F47B4D
5402,5,Cabildo,Valparaíso,15902,15,9.433,0.100,0.139,0.671,#F47B4D
5503,5,Hijuelas,Valparaíso,14305,5,3.495,0.033,0.114,0.672,#F47B4D
5304,5,San Esteban,Valparaíso,13757,10,7.269,0.067,0.116,0.732,#F47B4D
5705,5,Putaendo,Valparaíso,13312,8,6.010,0.053,0.105,0.674,#F47B4D
5105,5,Puchuncaví,Valparaíso,12925,10,7.737,0.067,0.104,0.734,#F47B4D
5803,5,Olmué,Valparaíso,12590,17,13.503,0.113,0.112,0.701,#F47B4D
5504,5,La Cruz,Valparaíso,12380,10,8.078,0.067,0.106,0.763,#F47B4D
5604,5,El Quisco,Valparaíso,12281,9,7.328,0.060,0.094,0.745,#F47B4D
5706,5,Santa María,Valparaíso,11142,8,7.180,0.053,0.100,0.699,#F47B4D
5702,5,Catemu,Valparaíso,10265,9,8.768,0.060,0.093,0.669,#F47B4D
5602,5,Algarrobo,Valparaíso,10102,15,14.849,0.100,0.094,0.722,#F47B4D
5605,5,El Tabo,Valparaíso,9254,10,10.806,0.067,0.078,0.747,#F47B4D
5302,5,Calle Larga,Valparaíso,8690,8,9.206,0.053,0.091,0.706,#F47B4D
5404,5,Petorca,Valparaíso,7714,11,14.260,0.073,0.076,0.696,#F47B4D
5606,5,Santo Domingo,Valparaíso,7116,5,7.026,0.033,0.106,0.751,#F47B4D
5303,5,Rinconada,Valparaíso,6329,6,9.480,0.040,0.072,0.691,#F47B4D
5704,5,Panquehue,Valparaíso,5753,4,6.953,0.027,0.054,0.696,#F47B4D
5405,5,Zapallar,Valparaíso,5734,3,5.232,0.020,0.065,0.743,#F47B4D
5403,5,Papudo,Valparaíso,4268,5,11.715,0.033,0.045,0.734,#F47B4D
5201,5,Isla de Pascua,Valparaíso,3753,6,15.987,0.040,0.024,0.715,#F47B4D
5104,5,Juan Fernández,Valparaíso,734,1,13.624,0.007,0.004,0.744,#F47B4D
6101,6,Rancagua,O'Higgins,193265,173,8.951,1.152,1.326,0.732,#FBCA70
6301,6,San Fernando,O'Higgins,56885,65,11.427,0.433,0.454,0.725,#FBCA70
6115,6,Rengo,O'Higgins,46657,24,5.144,0.160,0.366,0.680,#FBCA70
6117,6,San Vicente de Tagua Tagua,O'Higgins,36615,22,6.008,0.146,0.302,,#FBCA70
6310,6,Santa Cruz,O'Higgins,28677,28,9.764,0.186,0.229,0.719,#FBCA70
6303,6,Chimbarongo,O'Higgins,26929,18,6.684,0.120,0.224,0.674,#FBCA70
6108,6,Machalí,O'Higgins,26400,46,17.424,0.306,0.227,0.730,#FBCA70
6106,6,Graneros,O'Higgins,23694,24,10.129,0.160,0.206,0.691,#FBCA70
6110,6,Mostazal,O'Higgins,20458,14,6.843,0.093,0.156,0.691,#FBCA70
6116,6,Requínoa,O'Higgins,19884,19,9.555,0.127,0.176,0.668,#FBCA70
6107,6,Las Cabras,O'Higgins,18536,16,8.632,0.107,0.152,0.661,#FBCA70
